Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,1,1.4,0,5.0,8798324,1.4,1.0,1,0.0,0,1.4,SAT,,2.047,
2,1,3,1.06,0,5.0,4721952,1.06,819543.0,1,0.0,0,2.46,SAT,,1.361,
3,2,1,2.8226000297546383,1,2.8226000297546383,8798324,2.84,1.0,0,32.0,0,5.3,TIMEOUT,,3.218,
4,1,4,0.06,0,5.0,13549906,0.06,43745.0,1,0.0,0,5.359999999999999,SAT,,0.154,
5,3,1,2.8226000297546383,1,2.8226000297546383,8798324,2.84,1.0,0,12.0,0,8.2,TIMEOUT,,3.218,
6,1,5,2.5,0,5.0,3892437,2.5,1.0,1,0.0,0,10.7,SAT,,3.042,
7,4,4,1.0806007612228394,1,1.0806007612228394,13549906,1.1,237047.0,0,46.0,0,11.799999999999999,TIMEOUT,,1.188,
8,1,2,0.3,0,5.0,14135612,0.3,313644.0,1,0.0,0,12.1,SAT,,0.433,
9,5,4,1.0806007612228394,1,1.0806007612228394,13549906,1.1,246920.0,0,39.0,0,13.2,TIMEOUT,,1.21,
10,1,5,5.0,0,5.0,11726937,5.02,4.0,0,1.0,0,18.22,TIMEOUT,,6.177,
11,3,3,0.0,1,0.0,4721952,0.0,0.0,0,0.0,0,18.22,TIMEOUT,,0.0,
12,1,2,0.02,0,5.0,2050077,0.02,24575.0,1,0.0,1,18.24,SAT,,0.081,
13,6,4,1.0806007612228394,1,1.0806007612228394,13549906,1.1,263985.0,0,1.0,1,19.34,TIMEOUT,,1.212,
14,1,3,0.02,0,5.0,11946046,0.02,19594.0,1,0.0,1,19.36,SAT,,0.054,
15,7,5,0.0,0,5.0,11726937,0.0,10206.0,1,0.0,1,19.36,SAT,,0.056,
16,7,1,0.0,0,5.0,8798324,0.0,22622.0,1,0.0,1,19.36,SAT,,0.054,
17,7,3,0.0,0,5.0,11946046,0.0,13865.0,1,0.0,1,19.36,SAT,,0.055,
18,7,2,0.1,0,5.0,14135612,0.1,172435.0,1,0.0,1,19.46,SAT,,0.178,
19,7,2,0.0,0,5.0,2050077,0.0,11602.0,1,0.0,1,19.46,SAT,,0.053,
20,7,5,1.1,0,5.0,3892437,1.1,1.0,1,0.0,1,20.560000000000002,SAT,,1.584,
21,7,4,0.66,0,5.0,13549906,0.66,729241.0,1,0.0,1,21.220000000000002,SAT,,0.935,
22,7,3,0.02,0,5.0,4721952,0.02,29279.0,1,0.0,1,21.240000000000002,SAT,,0.066,
23,7,1,0.1,0,5.0,14899595,0.1,171951.0,1,0.0,2,21.340000000000003,SAT,,0.192,
24,8,1,0.02,0,1.0676001537322999,14899595,0.02,37758.0,1,0.0,2,21.360000000000003,SAT,,0.078,
25,8,5,0.02,0,1.7709006298065186,11726937,0.02,38307.0,1,0.0,2,21.380000000000003,SAT,,0.108,
26,8,1,0.0,0,2.4885003793716427,8798324,0.0,12602.0,1,0.0,2,21.380000000000003,SAT,,0.059,
27,8,2,0.0,0,2.697800241756439,2050077,0.0,21713.0,1,0.0,2,21.380000000000003,SAT,,0.056,
28,8,3,0.02,0,2.697800241756439,4721952,0.02,45670.0,1,0.0,2,21.400000000000002,SAT,,0.083,
29,8,4,0.04,0,2.671800576496124,13549906,0.04,54409.0,1,0.0,2,21.44,SAT,,0.117,
30,8,5,0.06,0,4.238300167369843,3892437,0.06,92729.0,1,0.0,2,21.5,SAT,,0.134,
31,8,3,0.04,0,4.186300061988831,11946046,0.04,59608.0,1,0.0,2,21.54,SAT,,0.088,
32,8,2,0.02,0,4.134300731468201,14135612,0.02,28294.0,1,0.0,2,21.56,SAT,,0.079,
33,8,4,0.4,0,5.0,14433727,0.4,427053.0,1,0.0,2,21.959999999999997,SAT,,0.57,
34,7,4,0.0,1,0.0,14433727,0.0,0.0,0,0.0,2,21.959999999999997,TIMEOUT,,0.0,
35,8,4,0.24,0,5.0,12331515,0.24,249645.0,1,0.0,3,22.199999999999996,SAT,,0.358,
36,8,2,0.0,0,5.0,9971747,0.0,13254.0,1,0.0,3,22.199999999999996,SAT,,0.063,
37,9,2,0.04,0,1.0112670290946961,2050077,0.04,47612.0,1,0.0,3,22.239999999999995,SAT,,0.106,
38,8,3,0.0,0,5.0,14553783,0.0,9261.0,1,0.0,3,22.239999999999995,SAT,,0.055,
39,10,3,0.62,0,1.0286006558418275,4721952,0.62,728037.0,1,0.0,3,22.859999999999996,SAT,,0.858,
40,8,5,0.0,0,5.0,3640727,0.0,18043.0,1,0.0,4,22.859999999999996,SAT,,0.053,
41,11,3,0.02,0,1.0286006558418275,4721952,0.02,29166.0,1,0.0,4,22.879999999999995,SAT,,0.083,
42,11,1,0.0,0,1.0325005281448365,8798324,0.0,11187.0,1,0.0,4,22.879999999999995,SAT,,0.053,
43,11,1,0.0,0,1.0325005281448365,14899595,0.0,7301.0,1,0.0,4,22.879999999999995,SAT,,0.058,
44,11,4,0.04,0,1.716300092983246,12331515,0.04,57619.0,1,0.0,4,22.919999999999995,SAT,,0.103,
45,11,4,0.12,0,1.664300762462616,14433727,0.12,121473.0,1,0.0,4,23.039999999999996,SAT,,0.203,
46,11,2,0.02,0,1.2548002231597901,14135612,0.02,31567.0,1,0.0,4,23.059999999999995,SAT,,0.078,
47,11,5,0.96,0,1.2288005578994752,3640727,0.96,1.0,1,0.0,4,24.019999999999996,SAT,,1.338,
48,8,1,0.0,0,5.0,10592030,0.0,22064.0,1,0.0,4,24.019999999999996,SAT,,0.053,
49,12,2,0.0,0,1.0112670290946961,2050077,0.0,7931.0,1,0.0,4,24.019999999999996,SAT,,0.055,
50,12,1,0.0,0,1.0572007525444032,10592030,0.0,3916.0,1,0.0,4,24.019999999999996,SAT,,0.028,
51,12,5,1.0572007525444032,1,1.0572007525444032,3892437,1.06,678418.0,0,1.0,4,25.079999999999995,TIMEOUT,,1.309,
52,8,3,0.24,0,5.0,14483738,0.24,320026.0,1,0.0,5,25.319999999999993,SAT,,0.354,
53,13,1,0.0,0,1.0112670290946961,8798324,0.0,7985.0,1,0.0,5,25.319999999999993,SAT,,0.029,
54,13,4,1.3432001698493958,1,1.3432001698493958,12331515,1.36,1.0,0,1.0,5,26.679999999999993,TIMEOUT,,1.785,
